TotalDisplacement 3349410
MaxDisplacement 217
NumCells 210904
c153921 732 8055
c154114 706 7959
c153783 726 7923
c154834 726 8043
c154262 727 8175
c154608 728 7875
c154096 728 9027
c153932 729 7779
c154343 729 9351
c154396 729 9315
c153779 733 8487
c153916 730 8403
c154384 711 8079
c154797 731 8439
c154984 677 8187
c154179 731 7815
c154131 732 8595
c153915 732 8175
c154140 733 8391
c154993 733 8343
c154990 733 8271
c153788 737 8415
c153890 731 8499
c154405 735 9327
c154267 735 8379
c153817 737 7767
c210509 759 6411
c154507 738 8427
c154820 737 9567
c154892 739 8619
c154393 739 9459
c154132 740 7971
c154107 685 8187
c154108 738 8163
c154112 741 8379
c153615 737 9411
c154796 745 9411
c153799 741 8355
c153814 690 8007
c154291 744 8523
c154336 744 8115
c153651 745 9567
c154616 746 9315
c154492 744 9195
c154989 745 8367
c154089 747 9363
c154091 748 9291
c154499 749 9351
c153906 751 8163
c154508 749 8451
c153601 749 8175
c154407 752 9195
c153552 750 8367
c155014 750 9159
c154172 716 8463
c153902 751 8103
c153917 746 8499
c154183 741 8343
c154092 753 9447
c154889 757 8487
c154390 753 9543
c153925 723 8307
c153754 754 7743
c153909 761 8499
c154065 755 9519
c153813 756 8091
c153919 739 8223
c153899 757 8451
c154240 758 8643
c153603 758 8427
c154799 721 7959
c155027 729 8319
c154171 738 8319
c154398 757 9351
c154995 761 8415
c154375 761 8535
c154496 762 9351
c154113 751 8067
c154126 698 8187
c154973 756 8271
c153756 763 7623
c153611 764 9615
c154099 754 9135
c154510 756 8295
c154418 765 8367
c153786 766 8583
c154505 714 8007
c153903 755 8055
c154894 767 8427
c154129 767 8631
c154106 768 7983
c153878 730 9531
c153872 768 9519
c154694 769 8595
c154506 766 8067
c153796 770 8019
c154338 726 7959
c61296 752 5175
c154381 772 7995
c153753 716 8079
c153745 774 8247
c154787 775 9231
c153557 775 8235
c153941 714 8187
c154101 775 9003
c153895 754 7887
c153807 777 8103
c153604 777 8511
c154119 732 8463
c61297 748 5151
c154168 778 8175
c153775 762 8031
c153912 756 7839
c210576 779 6411
c153599 754 8319
c153879 768 9411
c154610 778 9447
c154239 781 8667
c154822 781 9255
c154247 781 8595
c154788 752 8223
c154795 743 9483
c154494 782 9231
c153759 770 8475
c154125 757 8223
c155037 722 8007
c153831 740 8259
c154296 784 8883
c155064 784 9663
c153804 764 8319
c153911 759 7947
c154137 785 8403
c154337 766 8283
c153913 771 7791
c154063 754 9531
c154116 774 8067
c153785 753 7923
c153846 777 8487
c153918 736 8307
c153929 738 7959
c154115 786 8031
c153555 786 8415
c153830 754 8379
c154821 775 9567
c153621 769 9135
c153808 729 8007
c154121 747 8463
c154254 727 8187
c153842 761 7779
c154246 786 7755
c154341 748 9483
c154693 762 8463
c154344 760 9267
c154976 793 8427
c154165 764 8259
c154403 743 9387
c153616 771 9339
c154663 759 8139
c154382 781 8439
c154823 774 9303
c154060 779 9435
c153644 768 9219
c153748 753 8151
c154611 753 9471
c154419 773 8223
c153815 762 7851
c155040 792 8559
c153795 753 7959
c153832 740 8127
c154251 767 8139
c153904 740 8079
c207748 803 6411
c155030 792 7983
c154169 785 8223
c153926 771 8523
c153923 740 8187
c153816 777 7803
c153809 753 8187
c153774 777 8151
c153559 778 8283
c153750 761 8331
c154095 777 9135
c153931 771 7839
c153770 757 8343
c154606 772 8463
c153924 764 8127
c153893 786 7839
c154383 781 8343
c155066 774 9327
c154388 768 8055
c154395 780 9363
c154244 786 7791
c153802 777 8367
c154991 793 8199
c153938 780 8139
c153942 780 8259
c154258 767 9531
c154248 786 8463
c154502 780 8055
c153629 764 8271
c153747 753 8079
c153781 769 7887
c153801 764 8295
c155061 785 9675
c154386 774 7947
c153875 760 9483
c153877 755 9579
c153758 777 7827
c153939 788 8055
c153587 793 8691
c154498 774 9423
c153898 786 8523
c154410 796 8415
c153652 768 9075
c153778 777 8619
c153844 777 7707
c154890 794 8475
c153936 788 8355
c153773 777 8127
c154093 779 9339
c154122 785 8331
c154397 780 9279
c154133 777 7959
c154988 769 8211
c154249 749 8307
c154389 780 9567
c153840 753 8007
c154503 793 8091
c154978 793 8343
c153784 777 7767
c154612 768 9315
c155034 785 9171
c154340 767 9471
c154062 779 9579
c154066 755 9387
c153556 762 8307
c153805 777 8211
c153618 782 9315
c154059 779 9531
c154408 772 9267
c154695 781 8979
c154123 772 8271
c155023 772 8307
c153901 776 8115
c154406 779 9195
c154399 780 9207
c153622 782 9123
c154493 784 9267
c153648 768 9387
c154250 788 8283
c153845 753 7899
c154509 793 8259
c153874 768 9543
c130022 794 7683
c154087 779 9303
c153608 793 8439
c154500 784 9243
c154497 784 9291
c153794 777 7899
c154085 779 9327
c153818 777 8007
c153613 784 9483
c153933 786 7947
c154604 777 7923
c153606 791 7923
c154609 778 9507
c154135 785 7779
c154110 770 8391
c154786 783 8391
c154400 779 9159
c154245 786 7851
c153900 788 8271
c154118 778 8379
c153600 793 8379
c153610 793 7887
c153772 777 8079
c153797 777 8187
c154385 789 7935
c154086 779 9183
c153628 788 8391
c154421 789 8067
c154688 784 8307
c154836 793 7959
c154837 796 7875
c154264 796 8391
c154109 788 8511
c154111 788 8319
c154061 779 9471
c153614 782 9423
c154178 785 7911
c154504 793 8139
c209770 883 4215
c154450 789 8115
c154297 787 8859
c153558 788 8295
c154801 796 8763
c154261 796 8295
c207754 930 6411
c207740 938 6447
c160430 1058 10971
c209897 1063 3687
c160429 1070 11127
c160939 1089 11019
c209896 1106 3879
c162156 1133 11019
c162128 1161 11043
c160941 1165 11007
c161676 1165 11031
c160821 1168 11019
c161381 1170 10995
c161675 1170 10923
c160431 1173 11067
c161382 1176 10983
c162039 1181 11127
c162677 1181 10935
c161759 1180 10959
c161413 1197 11091
c160428 1195 11007
c162683 1204 11031
c160818 1200 10959
c161383 1205 10947
c161674 1205 11019
c161760 1209 10995
c161677 1208 10923
c161758 1224 11007
c161380 1229 10959
c209788 1312 7431
c161409 1228 10923
c17678 1233 3879
c161412 1236 11091
c209792 1312 7119
c13555 1244 3891
c162093 1248 10923
c46881 1306 2691
c14310 1270 5139
c210542 1270 6207
c209798 1312 7779
c17716 1270 5235
c160937 1259 10935
c160817 1251 10971
c16272 1260 3915
c209806 1312 6927
c162027 1264 10923
c161414 1267 10983
c209786 1312 6987
c14859 1269 3831
c160940 1303 10863
c14337 1271 3975
c160819 1280 10971
c162625 1272 11019
c160426 1272 11043
c18141 1273 5187
c14313 1270 5319
c14332 1274 5127
c161411 1274 11091
c16041 1276 5151
c16603 1280 5331
c15696 1280 4131
c16039 1278 5211
c18136 1281 5163
c160942 1281 10923
c209776 1312 7131
c16504 1286 5295
c14322 1289 5115
c14309 1289 4935
c46901 1306 2451
c14317 1286 5079
c14088 1291 5067
c161379 1291 10959
c14092 1292 4707
c18821 1292 4983
c14082 1293 5031
c160820 1293 10983
c16042 1294 4851
c14326 1294 5223
c16999 1292 5331
c161416 1295 11067
c162682 1303 10911
c16604 1299 5319
c16697 1298 5187
c15738 1298 5211
c14081 1299 4923
c18139 1299 5235
c16944 1303 5331
c14320 1299 5151
c14315 1302 5175
c14328 1303 5211
c160935 1304 10815
c16624 1305 5247
c14095 1306 4647
c13554 1303 3879
c18194 1304 5259
c17709 1308 5163
c14339 1311 3879
c162123 1308 10839
c161410 1308 11091
c15698 1308 4119
c16273 1309 3795
c16625 1299 5307
c17508 1310 5367
c16106 1270 5091
c15883 1315 5079
c160433 1312 11055
c18028 1312 5199
c16546 1272 5403
c17677 1313 3939
c14079 1314 4863
c14338 1314 3807
c161415 1315 11043
c18359 1283 5091
c14083 1316 4911
c15937 1316 3963
c16061 1318 4563
c16658 1319 5319
c17896 1320 5331
c15701 1319 4227
c17674 1322 4143
c14673 1320 4083
c14308 1307 5127
c16256 1324 4227
c160427 1324 10995
c13546 1325 4023
c209785 1325 6879
c14321 1321 5259
c18107 1316 5271
c16271 1322 3759
c46878 1327 6171
c160822 1328 10947
c13436 1328 5283
c16660 1326 5271
c209892 1285 5403
c17040 1326 5355
c128687 1329 6699
c17836 1329 5163
c210114 1330 6159
c14860 1334 3759
c209802 1331 6975
c128691 1332 6807
c16033 1323 5067
c15933 1332 3987
c17124 1325 5115
c209803 1332 6363
c160932 1326 10839
c17009 1324 5007
c16053 1332 4683
c16670 1333 5427
c15935 1333 4095
c17165 1334 5175
c17034 1334 5451
c14078 1334 4971
c14325 1331 5127
c17671 1335 4011
c160816 1330 10935
c16543 1337 5355
c13675 1343 5067
c16337 1336 5043
c14090 1337 4803
c14316 1335 5007
c13673 1338 5139
c13964 1339 5271
c160660 1338 10923
c160432 1329 11019
c17000 1339 5223
c13660 1338 5235
c13978 1340 5379
c17143 1328 5151
c16542 1335 5367
c17667 1340 4191
c210541 1341 6159
c15932 1341 4275
c17014 1342 5343
c161384 1340 10971
c14100 1342 4923
c161910 1342 10899
c15739 1350 5259
c14678 1344 4083
c15737 1343 5295
c160823 1329 11007
c13996 1348 5367
c151969 1343 5559
c19130 1344 4167
c14101 1333 4947
c16544 1339 5439
c13435 1339 5331
c209789 1345 7467
c160421 1358 11007
c17033 1345 5475
c209761 1346 5847
c13894 1343 5187
c16262 1340 4143
c13995 1347 5511
c17086 1347 5271
c18067 1353 4143
c14077 1347 4995
c17509 1352 5331
c46879 1347 6327
c160662 1345 11031
c14432 1336 5115
c15777 1351 5187
c17055 1352 5439
c209787 1349 7095
c151976 1349 5667
c14098 1349 4767
c15779 1350 5235
c13994 1358 5271
c17830 1347 4899
c17665 1348 4155
c14665 1350 4371
c18144 1349 4755
c14667 1350 4179
c17488 1350 4983
c160936 1350 10959
c160658 1355 10839
c162139 1349 10851
c13664 1351 5139
c15934 1351 4047
c14336 1351 3939
c14417 1352 4887
c210107 1352 5691
c209765 1352 5247
c17731 1350 5319
c14085 1362 4947
c15513 1353 4611
c161378 1358 11019
c151965 1354 5559
c151056 1354 5571
c160422 1359 10935
c18877 1354 4227
c16008 1355 5067
c13772 1355 5379
c17689 1355 4587
c17039 1354 5463
c209764 1356 5859
c210000 1356 6411
c14076 1364 5007
c162676 1357 10911
c16011 1357 4779
c16007 1355 4743
c17048 1356 5079
c15702 1358 4287
c161660 1358 10635
c13561 1358 4419
c161377 1360 10971
c17146 1290 5091
c14436 1339 5151
c14333 1311 5307
c17089 1359 5259
c13920 1358 5223
c14858 1359 3831
c15695 1359 4155
c14086 1352 5103
c13777 1360 5391
c18358 1360 4971
c14099 1361 4899
c14318 1359 5199
c16014 1365 5115
c17968 1360 3867
c16605 1360 5331
c16283 1362 4467
c129112 1362 7551
c209781 1363 6435
c17128 1360 5127
c151008 1363 5439
c16293 1364 4527
c209768 1295 5403
c162530 1364 10995
c16636 1371 5127
c160930 1364 10791
c14405 1355 4731
c209767 1363 5511
c14429 1365 4983
c16986 1366 5223
c14424 1364 4911
c13683 1301 5091
c13558 1366 4695
c210119 1366 5943
c13674 1367 5079
c160661 1366 10863
c210531 1366 5715
c13564 1363 4491
c17013 1305 5403
c14857 1367 3927
c14401 1366 4755
c17131 1367 4971
c14324 1379 5127
c16551 1367 5271
c13985 1365 5463
c151014 1363 5535
c160598 1367 10719
c17012 1360 5319
c162234 1363 10851
c46900 1368 2247
c17133 1355 5019
c151948 1368 5655
c160425 1368 10947
c209773 1369 7239
c18153 1355 4647
c16267 1369 4311
c46883 1369 6099
c151485 1370 5547
c205084 1370 6339
c150637 1370 6291
c15515 1370 4455
c15943 1373 4491
c16997 1371 4995
c151971 1365 5523
c17679 1371 3831
c13992 1371 5343
c151031 1373 5463
c19127 1367 3999
c151483 1373 5511
c160929 1372 10815
c16027 1340 5307
c161681 1372 10827
c16032 1366 5019
c18146 1375 4743
c16009 1360 4647
c16029 1367 5043
c151978 1378 5535
c13983 1373 5523
c16261 1372 4131
c209756 1375 5499
c20496 1375 4047
c13979 1363 5415
c14340 1375 3819
c153643 1375 9243
c152064 1375 5655
c209900 1371 5415
c18838 1375 4611
c151967 1381 5523
c16501 1381 5415
c210112 1377 5691
c209805 1377 7035
c15735 1385 5115
c14861 1378 3735
c14330 1375 5247
c161392 1375 10995
c18118 1371 5055
c15521 1377 4515
c13778 1371 5319
c14675 1376 3999
c16279 1380 4695
c209980 1380 6939
c16005 1381 4851
c17670 1381 4023
c209997 1381 6627
c14319 1357 5163
c151004 1354 5427
c18138 1379 5259
c17486 1382 5319
c15939 1381 3783
c160934 1381 10983
c19132 1379 4215
c16641 1387 5043
c16633 1388 5055
c17016 1378 5439
c161743 1382 10707
c16661 1333 5211
c20497 1384 4131
c151512 1383 6123
c209879 1378 5079
c13889 1380 5235
c16057 1383 4587
c209797 1383 7155
c160814 1374 11031
c19133 1384 4155
c13702 1384 5175
c14670 1383 3987
c16623 1360 5307
c209782 1384 8067
c16743 1316 5403
c13556 1384 3867
c14779 1385 4563
c17084 1388 5007
c126555 1385 6747
c161757 1379 10851
c18179 1385 4455
c14408 1384 4731
c15778 1388 5235
c15516 1386 4299
c17035 1383 5271
c19117 1386 4347
c152061 1386 5655
c14419 1309 5091
c18114 1385 4839
c16034 1386 4743
c14091 1386 4671
c13552 1386 3879
c17681 1386 4503
c151079 1385 5631
c150805 1386 6219
c20931 1388 4215
c14306 1387 4887
c161661 1387 10731
c16001 1387 4719
c46882 1388 6099
c2951 1384 4707
c14683 1387 4203
c160938 1378 11019
c14314 1393 5079
c15510 1390 4515
c14404 1358 4599
c18121 1391 4947
c16507 1386 5331
c151964 1389 5439
c17158 1390 5115
c14329 1368 5151
c13587 1384 5343
c151926 1390 5619
c14790 1390 4839
c17036 1327 5403
c13591 1396 5343
c14669 1390 3975
c161887 1391 10743
c13776 1363 5295
c14342 1386 3843
c161679 1391 10839
c162029 1403 11031
c161712 1391 10911
c16025 1394 5271
c17145 1392 5067
c14412 1392 4683
c160813 1392 10959
c162624 1395 10995
c152063 1392 5535
c150792 1392 5823
c210115 1388 6183
c14397 1393 4911
c17032 1371 5295
c151974 1391 5487
c15699 1392 4239
c13902 1399 5319
c209763 1393 5883
c161423 1393 10971
c13966 1369 5427
c150940 1393 5907
c209757 1338 5403
c16015 1380 4647
c20486 1394 4323
c13967 1377 5391
c53636 1394 4047
c160659 1394 11007
c18361 1395 4755
c18177 1386 4611
c16268 1393 4359
c209887 1388 5559
c16495 1396 5259
c16290 1395 4575
c162097 1407 11019
c17015 1389 5415
c19125 1395 4023
c16047 1382 5187
c151025 1403 5559
c151495 1367 5367
c17053 1398 5331
c210532 1396 5607
c18110 1396 4875
c16031 1338 5091
c16260 1397 3963
c129108 1397 7851
c13590 1382 5295
c13984 1375 5283
c14327 1388 5199
c151954 1397 5571
c151493 1380 5367
c13671 1402 5187
c17056 1380 5355
c151123 1403 6183
c16550 1377 5427
c13693 1395 5175
c210526 1401 5055
c14778 1392 4455
c15931 1399 4311
c13670 1401 5115
c151950 1399 5487
c151060 1385 5391
c14856 1400 3891
c16018 1391 5139
c17049 1404 5247
c151078 1401 5631
c16274 1400 3999
c14441 1400 4995
c150994 1401 5643
c16745 1391 5355
c15740 1410 5187
c209755 1402 5355
c13661 1374 5379
c161713 1402 10899
c13913 1411 5139
c16054 1390 4623
c13779 1348 5403
c17037 1383 5283
c13547 1403 4383
c14400 1364 4827
c152055 1403 5667
c15711 1386 5379
c151270 1401 6159
c15930 1394 4611
c18150 1387 4599
c151143 1404 5883
c16058 1414 4611
c160592 1404 10863
c14089 1408 4707
c151927 1405 5571
c17726 1394 5283
c151080 1397 5547
c161424 1403 11043
c14343 1410 3843
c13982 1393 5367
c14855 1405 3927
c151050 1413 5547
c151081 1405 5691
c14780 1400 4647
c151429 1406 6159
c17682 1406 4359
c14430 1378 4935
c14789 1384 4443
c17148 1397 5151
c151124 1406 6195
c20495 1407 3987
c14798 1413 4731
c16035 1386 5163
c151943 1406 5619
c16255 1406 4095
c151048 1390 5427
c207689 1407 3855
c15520 1407 4407
c13986 1397 5439
c16746 1391 5379
c16737 1409 5331
c160596 1399 10851
c151042 1408 5475
c16259 1413 3999
c160423 1408 10935
c54552 1408 4179
c16109 1408 4779
c46880 1409 2655
c18112 1396 4959
c19136 1409 4143
c13686 1409 5127
c16338 1407 5319
c14433 1404 5043
c151479 1402 5499
c16270 1409 3831
c16028 1409 4947
c54554 1411 4203
c207687 1410 3891
c209959 1410 7515
c16340 1412 5319
c13903 1372 5307
c210110 1402 5535
c161912 1405 10815
c16278 1410 4623
c20493 1411 4119
c17001 1410 5343
c151929 1411 5523
c209766 1403 4635
c7468 1409 4587
c13684 1417 5199
c13665 1381 5103
c161422 1412 10923
c17969 1412 3879
c17069 1395 5031
c14788 1402 4503
c14394 1412 4659
c162148 1413 10695
c16510 1412 5355
c16059 1401 4599
c16043 1380 5307
c151767 1409 5679
c17057 1415 5499
c210116 1413 6003
c14323 1406 5175
c210113 1413 6411
c14334 1414 3975
c13676 1411 5235
c2953 1414 4791
c16549 1400 5415
c17100 1414 5271
c20490 1410 4059
c16699 1415 5115
c160599 1403 10827
c209898 1416 5523
c16470 1346 5211
c13543 1416 4155
c209885 1386 5019
c151387 1416 5979
c17077 1401 5367
c13912 1425 5355
c13899 1419 5235
c207885 1390 5295
c151028 1405 5427
c13896 1403 5295
c209807 1417 7083
c209945 1417 6483
c20488 1417 4191
c14410 1418 4695
c17147 1418 5247
c207682 1411 3939
c16637 1411 5295
c16269 1418 4587
c16060 1419 4551
c16984 1359 5211
c16276 1419 3903
c13997 1405 5463
c13977 1421 5343
c151186 1414 6039
c14390 1419 4815
c209999 1420 6531
c17054 1413 5415
c14786 1420 4431
c160812 1423 11043
c13666 1406 5163
c2957 1424 4647
c151800 1421 5619
c53635 1405 4023
c151977 1426 5499
c13335 1421 4299
c14411 1413 4635
c161680 1422 10875
c7465 1423 4623
c16280 1422 4491
c13695 1425 5199
c14663 1423 4359
c162529 1423 10947
c7467 1432 4623
c160657 1423 11031
c17138 1423 5187
c14427 1422 4839
c17448 1423 4851
c129109 1423 7707
c150904 1423 5931
c151007 1424 5415
c14093 1424 4719
c161885 1424 10647
c14674 1417 4035
c16257 1425 4059
c150854 1424 5775
c151491 1412 5535
c160575 1425 10899
c14097 1425 4863
c18853 1426 4503
c13553 1424 3939
c16646 1423 5139
c16045 1385 5223
c207961 1420 5007
c16275 1432 3939
c151055 1418 5487
c20927 1403 4167
c14331 1400 5307
c17668 1426 4047
c18143 1426 4683
c16996 1426 5055
c15509 1426 4467
c13672 1426 5067
c13668 1427 5127
c151458 1423 6219
c16258 1430 4059
c15940 1408 4443
c14341 1427 3891
c20918 1427 4143
c16491 1408 5151
c7462 1393 4827
c151053 1405 5439
c151032 1420 5439
c15712 1428 5259
c16503 1356 5403
c150764 1430 6039
c14792 1434 4611
c14407 1431 4587
c160419 1428 11055
c14226 1414 5163
c209772 1400 5391
c150791 1419 6027
c16062 1429 4671
c13701 1428 5115
c210543 1429 6195
c150903 1429 5991
c17070 1429 5331
c210002 1424 6507
c209944 1413 5463
c18116 1430 4875
c13991 1402 5379
c13975 1414 5451
c16672 1369 5403
c2956 1423 4755
c2955 1430 4575
c151481 1423 5463
c150825 1420 5823
c151114 1413 6171
c160424 1431 11067
c151979 1431 5511
c14415 1407 4935
c151446 1431 5643
c151955 1424 5559
c15964 1432 4371
c14777 1435 4503
c151026 1427 5607
c161750 1432 10503
c16037 1420 5151
c18823 1432 4971
c16998 1422 5319
c17123 1435 5139
c16923 1433 4995
c151844 1443 6027
c16284 1433 4335
c151224 1433 5811
c209886 1412 5367
c13594 1433 5487
c151088 1425 5679
c14387 1434 4899
c16817 1410 5391
c16030 1358 5091
c18152 1415 4539
c203251 1434 3507
c17098 1435 5175
c162119 1430 10767
c151062 1422 5451
c15877 1430 4947
c14671 1441 4035
c16252 1418 4263
c17051 1438 5163
c209899 1435 5751
c16695 1405 5223
c151226 1435 5667
c16509 1435 5355
c14661 1420 4443
c151003 1425 5535
c16355 1432 5343
c151046 1436 5439
c160663 1436 10947
c16488 1436 5067
c14312 1370 5211
c18151 1442 4635
c17666 1425 4239
c16266 1429 4227
c151234 1433 5739
c15999 1437 4731
c15525 1437 4563
c128688 1415 6675
c17099 1417 5223
c161742 1433 10623
c16969 1408 5283
c210106 1443 5607
c150855 1438 5943
c13773 1419 5295
c16649 1410 5379
c17676 1421 4311
c150939 1438 5931
c20489 1438 4095
c18837 1416 4455
c151946 1434 5547
c13545 1439 4011
c209784 1434 7671
c16254 1439 4239
c161420 1439 11007
c17091 1428 5475
c13974 1437 5451
c14406 1429 4779
c16622 1429 5235
c18137 1436 5115
c160572 1434 10839
c161417 1438 11019
c14666 1434 4251
c17664 1451 4239
c151499 1427 5367
c150998 1436 5463
c209986 1434 6675
c14241 1378 5091
c14398 1447 4755
c209971 1434 7479
c151044 1432 5523
c17844 1428 4455
c16677 1429 5271
c13566 1421 4599
c160864 1446 10767
c151076 1441 5487
c15941 1431 4599
c16002 1441 4887
c14096 1402 4827
c17725 1433 5319
c151029 1442 5547
c16678 1440 5367
c18158 1442 3867
c16816 1421 5391
c13774 1445 5343
c13916 1435 5379
c154831 1442 9747
c16539 1431 5295
c13598 1439 5475
c14392 1443 4815
c209804 1439 7779
c151801 1446 5739
c19123 1442 4227
c18130 1389 5103
c151585 1443 5631
c16715 1441 5499
c13944 1441 5235
c151962 1443 5667
c16469 1382 5403
c151930 1444 5583
c20912 1445 4299
c16468 1444 4623
c18159 1444 3879
c16502 1442 5271
c16508 1432 5391
c151389 1444 6123
c13565 1441 4551
c16010 1431 4935
c128686 1436 6699
c13917 1446 5175
c14307 1450 5115
c15700 1451 4227
c151856 1441 5619
c18905 1428 5223
c161893 1425 10815
c154772 1446 9783
c209796 1434 7371
c151925 1442 5595
c151970 1447 5511
c151791 1447 5715
c160597 1432 10827
c18176 1447 4467
c14431 1406 5031
c161888 1412 10779
c16285 1442 4347
c14229 1436 5259
c151636 1443 5379
c18140 1440 5151
c13544 1448 4155
c17675 1447 3975
c20914 1443 4215
c16700 1448 5247
c162671 1428 10851
c16063 1449 4551
c14676 1412 4167
c13551 1449 4119
c16019 1458 4779
c16004 1426 4923
c13919 1449 5235
c162626 1453 10623
c210540 1426 6171
c160878 1449 10587
c161390 1444 10983
c16643 1445 5151
c151975 1450 5595
c13688 1406 5103
c151052 1457 5487
c161658 1450 10695
c150938 1454 6039
c161669 1450 10599
c153863 1451 9975
c14335 1425 4023
c17244 1394 5403
c16659 1449 5163
c151924 1432 5559
c151638 1451 5439
c203192 1452 3963
c151006 1445 5451
c18147 1441 4851
c14438 1401 5019
c16985 1458 5151
c20929 1458 4251
c14854 1453 3879
c160608 1442 10803
c13993 1452 5499
c13900 1455 5271
c14416 1436 4803
c151919 1458 5619
c18178 1417 4479
c15938 1453 3843
c16696 1457 5235
c154454 1454 9723
c20481 1454 4299
c160696 1439 10863
c151001 1441 5679
c15884 1428 5079
c14862 1454 3855
c16339 1460 5451
c14311 1419 5283
c209995 1434 6627
c209800 1434 6459
c14227 1454 5175
c13965 1441 5331
c151528 1452 5691
c151489 1447 5523
c151960 1458 5547
c16356 1421 5427
c2959 1432 4539
c16548 1448 5355
c15523 1456 4695
c161673 1456 10647
c15863 1456 5067
c14087 1414 5103
c151232 1448 5775
c13775 1460 5259
c16681 1453 5367
c161764 1457 10743
c14420 1457 4983
c151691 1460 5691
c209749 1456 5679
c17669 1453 4095
c160526 1457 10731
c154320 1457 9843
c14084 1458 4899
c16026 1446 4923
c17832 1448 4647
c161716 1458 10935
c162103 1463 10839
c18120 1433 5043
c161741 1459 10659
c151035 1460 5499
c152065 1434 5427
c161911 1433 10851
c162111 1459 10671
c18048 1459 4011
c154360 1459 9603
c13696 1440 5079
c20500 1459 4275
c152066 1460 5571
c161421 1460 10971
c14660 1436 4767
c16264 1431 4263
c151113 1436 6171
c13694 1463 5271
c13597 1461 5355
c16292 1434 4515
c151021 1450 5475
c151385 1460 6087
c13680 1460 5055
c16496 1447 5319
c128685 1398 6759
c209795 1434 6507
c13588 1402 5403
c17071 1449 5331
c13678 1456 5199
c16648 1399 5211
c17030 1459 5319
c14434 1448 5079
c151417 1461 5607
c19118 1443 4263
c151313 1440 5559
c17105 1429 5307
c161391 1458 11019
c15942 1439 4515
c16013 1462 4587
c162041 1462 10995
c209762 1444 5391
c18221 1464 5199
c17052 1469 5355
c18220 1435 5223
c20487 1463 4179
c154411 1463 9759
c17759 1460 5247
c15697 1462 4143
c154536 1463 9519
c150917 1443 5811
c151717 1460 5631
c13914 1411 5211
c16024 1447 4971
c154775 1464 9507
c14672 1454 3999
c151227 1464 5787
